Unnamed: 0,property_type,price,location,city,baths,purpose,bedrooms,Area_in_Marla
1015,Flat,4666000,Fazaia Housing Scheme,Karachi,2,For Sale,2,5.8
1019,Flat,4090000,Fazaia Housing Scheme,Karachi,2,For Sale,2,5.7
1020,Flat,4797000,Fazaia Housing Scheme,Karachi,4,For Sale,3,6.7
1023,Lower Portion,5900000,Federal B Area,Karachi,3,For Sale,3,4.8
1025,House,27500000,Bahria Town Karachi,Karachi,5,For Sale,5,10.9
1026,Flat,12000000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,10.2
1028,House,13700000,Bahria Town Karachi,Karachi,3,For Sale,3,6.1
1029,Flat,32000000,Cantt,Karachi,3,For Sale,3,11.4
1030,Flat,5100000,Bahria Town Karachi,Karachi,2,For Sale,2,4.2
1031,Flat,25500000,Jamshed Town,Karachi,4,For Sale,3,6.7
1032,Flat,5200000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,4.2
1033,House,8500000,Gulshan-e-Usman Housing Society,Karachi,3,For Sale,3,5.0
1035,Flat,17500000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,8.0
1036,Flat,20000000,Jamshed Town,Karachi,3,For Sale,5,9.3
1037,Flat,7000000,Garden West,Karachi,4,For Sale,3,6.0
1038,Upper Portion,1800000,Liaquatabad,Karachi,1,For Sale,1,1.8
1039,House,13000000,Gulshan-e-Iqbal Town,Karachi,4,For Sale,4,4.8
1041,Flat,6500000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,6.0
1044,House,240000,Zamzama,Karachi,5,For Rent,5,14.0
1045,Upper Portion,150000,DHA Defence,Karachi,3,For Rent,3,20.0
1046,Upper Portion,200000,DHA Defence,Karachi,3,For Rent,3,20.0
1047,Lower Portion,40000,Gulshan-e-Iqbal Town,Karachi,3,For Rent,3,6.4
1048,Flat,8500000,G-11,Islamabad,3,For Sale,3,4.9
1049,Flat,2997000,B-17,Islamabad,2,For Sale,2,3.0
1050,House,28000000,Bahria Town,Islamabad,6,For Sale,5,11.0
1051,House,30000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,5.0
1052,House,38000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,8.0
1053,Lower Portion,25000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,10.0
1054,House,40000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,5.0
